Time_1,user,likes_count,url,twitterID,howOld
0000/02/26 23:54:55,ginger893,2,https://qiita.com/ginger893/items/45acf5bc5d26c406dfbd,ginger893,3
0000/02/27 15:15:30,jellied_unagi,2,https://qiita.com/jellied_unagi/items/a69d38b4a0daa276793b,jellied_unagi,9
0000/02/27 23:29:35,shun-kusano,10,https://qiita.com/shun-kusano/items/59e57d240b7f689f0a00,,2
0000/02/28 10:21:50,Seiji_Tanaka,4,https://qiita.com/Seiji_Tanaka/items/a059090ee020a5d5c648,garanamarine,3
0000/02/28 14:18:01,Seiji_Tanaka,1,https://qiita.com/Seiji_Tanaka/items/b29d8a5a3447680370ce,garanamarine,3
0000/02/28 19:44:08,shun-kusano,3,https://qiita.com/shun-kusano/items/9b040ab2bca79e437b6a,,2
0000/02/28 21:50:30,FollowUser,3,https://qiita.com/FollowUser/items/b58d1581fc834dacaeab,,1
0000/03/01 00:24:19,takilog,6,https://qiita.com/takilog/items/f5f8bca4123f227009e0,taki__taki__,5
0000/03/02 12:27:39,eigs,14,https://qiita.com/eigs/items/056eb9a757e2a2147edf,michio_MWJ,2
0000/03/02 21:11:13,mizukirc,34,https://qiita.com/mizukirc/items/2acec62b315b1d8e288d,,5
0000/03/02 22:07:33,yoshida3,6,https://qiita.com/yoshida3/items/5f194d308e57813eab9c,,1
0000/03/03 11:33:16,shohirose,12,https://qiita.com/shohirose/items/fdd20712106b00b7d9c6,sho_shiz,3
0000/03/03 16:23:57,motorcontrolman,11,https://qiita.com/motorcontrolman/items/836e19e828c3594f3a8f,motorcontrolman,3
0000/03/03 16:49:00,motorcontrolman,11,https://qiita.com/motorcontrolman/items/52904d05aff149aeab2b,motorcontrolman,3
0000/03/03 22:05:12,arima_naoki,1,https://qiita.com/arima_naoki/items/53e5888a56377c5235db,,1
0000/03/04 19:23:46,stozaki,10,https://qiita.com/stozaki/items/757b3fa687016a14a0a1,,2
0000/03/05 18:19:43,popura,1,https://qiita.com/popura/items/d22e4e3573d5f15a59a3,,4
0000/03/05 22:33:30,gkhtnk,5,https://qiita.com/gkhtnk/items/8f547f07212e22b65243,,5
0000/03/07 00:33:35,kanedayo,0,https://qiita.com/kanedayo/items/7e3fae642737748392d9,,1
0000/03/09 00:02:09,9W3R7Y,29,https://qiita.com/9W3R7Y/items/ee006fac0284d164c781,,1
0000/03/11 06:11:46,eigs,9,https://qiita.com/eigs/items/15e8427aa5c186e88567,michio_MWJ,1
0000/03/11 06:30:04,eigs,80,https://qiita.com/eigs/items/628a2aeb3cb9eef91093,michio_MWJ,2
0000/03/11 16:14:03,dylab,1,https://qiita.com/dylab/items/721ecbab5921be710b8a,,1
0000/03/11 19:28:11,shun-kusano,9,https://qiita.com/shun-kusano/items/2f37e1af782d480416e9,,2
0000/03/12 02:39:09,Hexans,7,https://qiita.com/Hexans/items/8b9762258ff722c8fbb5,AIProgrammers,2
0000/03/13 13:55:56,teruqii,28,https://qiita.com/teruqii/items/e508149364f0c513edea,,2
0000/03/13 15:42:55,nixir,4,https://qiita.com/nixir/items/86e92c9be47be2bc5d2d,,2
0000/03/13 16:39:11,mizukirc,11,https://qiita.com/mizukirc/items/2b9e8e13c7d93b9827d3,,5
0000/03/13 23:42:20,larking95,18,https://qiita.com/larking95/items/4d9bf7a2489d79ebb90b,larking95,2
0000/03/14 07:45:11,universato,3,https://qiita.com/universato/items/735d309d2a697e8529c0,universato,2
0000/03/14 20:25:04,AraNeco,3,https://qiita.com/AraNeco/items/0f472d9492b3d7055bd4,,2
0000/03/15 01:32:25,daenqiita,5,https://qiita.com/daenqiita/items/be92e332fb029bacd795,,3
0000/03/15 01:33:45,griffin921,62,https://qiita.com/griffin921/items/d761abc656542f62a611,griffin921,2
0000/03/18 06:16:11,eigs,30,https://qiita.com/eigs/items/5a62d9aff7d83af55099,michio_MWJ,2
0000/03/19 00:49:27,tohruk,9,https://qiita.com/tohruk/items/c0325a36a023f4e44e3c,,2
0000/03/19 03:18:42,oicawa,17,https://qiita.com/oicawa/items/95a2f02b771cfc25f8ab,,8
0000/03/19 12:42:58,konakalab,15,https://qiita.com/konakalab/items/1e34434d029304eb8362,konakalab,2
0000/03/20 00:02:43,higo,6,https://qiita.com/higo/items/2918fe4e897f4d409ed4,,2
0000/03/20 12:36:55,Fuminori_Souma,11,https://qiita.com/Fuminori_Souma/items/17d1411184578ed76592,,1
0000/03/20 17:53:29,freqalbeltokei,0,https://qiita.com/freqalbeltokei/items/ae814d55e1e0d61e1d89,,3
0000/03/21 01:21:59,oicawa,0,https://qiita.com/oicawa/items/5e1c37f7d83c6f6aab58,,8
0000/03/21 03:25:55,larking95,3,https://qiita.com/larking95/items/44248436e86a59765572,larking95,2
0000/03/21 04:55:40,larking95,11,https://qiita.com/larking95/items/d08e0b4bcf241bcf3bf9,larking95,2
0000/03/21 07:50:10,17ec084,2,https://qiita.com/17ec084/items/47743da791811820eb22,,2
0000/03/21 14:23:55,mizukirc,10,https://qiita.com/mizukirc/items/3a8adad0d661bdea605b,,4
0000/03/22 00:28:10,oicawa,11,https://qiita.com/oicawa/items/e80447ba51de14a76878,,8
0000/03/22 14:21:04,yoneken,2,https://qiita.com/yoneken/items/294f968fd4d9f609a0aa,k_yone,8
0000/03/25 06:46:30,amikura,0,https://qiita.com/amikura/items/8138cc1902bd4bbb3e28,amikura1986,2
0000/03/25 06:56:25,eigs,4,https://qiita.com/eigs/items/a93f37e57a388bed5dbd,michio_MWJ,2
0000/03/25 07:12:11,eigs,14,https://qiita.com/eigs/items/fee977f4acbf1a4b3472,michio_MWJ,2
0000/03/25 14:13:47,tttamaki,0,https://qiita.com/tttamaki/items/393697d8e2436769cf1c,ttttamaki,6
0000/03/25 21:37:09,zoekaeru,5,https://qiita.com/zoekaeru/items/71db62bb159f27e450cb,,3
0000/03/26 22:01:23,dokagui_tairan,18,https://qiita.com/dokagui_tairan/items/e60ba14f0519397616a5,dokagui_tairan,2
0000/03/27 12:00:13,yamori813,3,https://qiita.com/yamori813/items/7ef6e2af5a33251d2ced,yamori813,4
0000/03/27 22:13:12,motorcontrolman,56,https://qiita.com/motorcontrolman/items/60480e0766d00f3b3d8f,motorcontrolman,3
0000/03/28 09:14:26,shun-kusano,30,https://qiita.com/shun-kusano/items/e11934158c397bcabf2a,,2
0000/03/29 10:18:45,dokagui_tairan,38,https://qiita.com/dokagui_tairan/items/67728c042f3cb5ef10bb,dokagui_tairan,2
0000/03/29 15:33:41,kotai2003,2,https://qiita.com/kotai2003/items/8086f36ac23003c7372e,,2
0000/03/30 19:21:12,teruqii,10,https://qiita.com/teruqii/items/9e10e288dbb9aae5e0c3,,2
0000/03/30 23:18:22,aoimidori,23,https://qiita.com/aoimidori/items/6629b08dfa65ad306be9,,2
0000/03/31 15:54:07,tohruk,29,https://qiita.com/tohruk/items/e5f7939b622bcf2e3c4c,,2
0000/03/31 15:58:01,tohruk,12,https://qiita.com/tohruk/items/4f512d312e6d212f287b,,2
0000/03/31 20:56:30,kenichi-hamaguchi,8,https://qiita.com/kenichi-hamaguchi/items/d4e451e67ebf380a48c6,,3
0000/04/01 00:32:26,dokagui_tairan,5,https://qiita.com/dokagui_tairan/items/1e3a1ff33c72e4bff477,dokagui_tairan,2
0000/04/01 10:52:34,tohruk,12,https://qiita.com/tohruk/items/59e527a3e8b540219cc1,,2
0000/04/02 13:15:45,tohruk,3,https://qiita.com/tohruk/items/fc1dd27cb1d9b01bf3ff,,2
0000/04/03 08:49:00,aoimidori,21,https://qiita.com/aoimidori/items/b767c66ece2cc2725495,,2
0000/04/03 13:53:13,tohruk,4,https://qiita.com/tohruk/items/4f5d496b058049ecc4c0,,2
0000/04/03 18:20:39,stozaki,4,https://qiita.com/stozaki/items/f40e439e0cdd6543112a,,2
0000/04/03 22:34:07,aoimidori,7,https://qiita.com/aoimidori/items/85aa3a5791ca86a46217,,2
0000/04/05 17:36:49,S_Sekino,1,https://qiita.com/S_Sekino/items/2355186c203cd4e15a9d,,1
0000/04/05 19:07:01,YutaNakamura_bbhomejp,2,https://qiita.com/YutaNakamura_bbhomejp/items/91820f6ad825b5eec3cd,bbhomejp,1
0000/04/05 19:35:48,YutaNakamura_bbhomejp,8,https://qiita.com/YutaNakamura_bbhomejp/items/fac60f397685f6fb8050,bbhomejp,1
0000/04/05 22:15:04,tohruk,7,https://qiita.com/tohruk/items/2a654f86db846b27d035,,2
0000/04/05 23:38:38,tohruk,1,https://qiita.com/tohruk/items/0dca7cbc13b8793d250f,,2
0000/04/06 04:14:29,eigs,19,https://qiita.com/eigs/items/5d4f93464eb6506bead6,michio_MWJ,2
0000/04/06 10:09:47,tohruk,5,https://qiita.com/tohruk/items/02b5b0b2bafe51d97602,,2
0000/04/06 12:05:21,rysk-t,1,https://qiita.com/rysk-t/items/7d42baa7d59bc255979a,,5
0000/04/07 10:01:32,hyro79,3,https://qiita.com/hyro79/items/a9bff39ac863655335b5,,2
0000/04/07 17:47:31,tohruk,7,https://qiita.com/tohruk/items/5a04153c079ed5446f59,,2
0000/04/08 20:33:22,yoya,1,https://qiita.com/yoya/items/17acd1bf1b5346af6eac,yoya,2
0000/04/08 21:52:24,rotace,61,https://qiita.com/rotace/items/351fe0a0a7a550545cd8,,2
0000/04/08 23:00:37,aoimidori,17,https://qiita.com/aoimidori/items/9678631a966a4a6abc40,,2
0000/04/09 01:01:07,nomu0416,2,https://qiita.com/nomu0416/items/e9c3e24615ef3a56ae1f,,1
0000/04/09 07:33:51,dokagui_tairan,10,https://qiita.com/dokagui_tairan/items/4fdfb4d5342f40a27ffb,dokagui_tairan,2
0000/04/09 15:03:50,h583,4,https://qiita.com/h583/items/2ea83d734043dd0d76f2,,2
0000/04/09 18:58:33,osobono,6,https://qiita.com/osobono/items/342cb4ce6a5f5cbb9be6,pla60_riko,2
0000/04/10 10:30:22,tohruk,5,https://qiita.com/tohruk/items/61d5a71c674f09ce127f,,2
0000/04/10 20:39:35,yoya,1,https://qiita.com/yoya/items/22fe032cb8c43026a3c0,yoya,2
0000/04/12 19:23:06,Usuwo,0,https://qiita.com/Usuwo/items/6336637e5636373f7bac,UsuwoLaboratory,4
0000/04/12 22:17:20,tohruk,3,https://qiita.com/tohruk/items/f3ca2275b72ba55614f5,,2
0000/04/13 06:51:37,eigs,8,https://qiita.com/eigs/items/81ceaf8d0abc426d29d7,michio_MWJ,2
0000/04/13 20:22:45,h583,3,https://qiita.com/h583/items/626eda59095792a22690,,2
0000/04/14 10:07:39,7of9,0,https://qiita.com/7of9/items/429353cd17a924d3a737,,4
0000/04/14 17:23:25,rysk-t,3,https://qiita.com/rysk-t/items/d83d3e3a25114bf12414,,5
0000/04/14 17:30:08,gracehime,8,https://qiita.com/gracehime/items/cd5be0f238af35a5d362,juraruming,1
0000/04/14 17:46:34,h583,4,https://qiita.com/h583/items/faa05697a8293299190d,,2
0000/04/14 21:50:39,h583,5,https://qiita.com/h583/items/e223d9c75b653fda7d34,,2
0000/04/15 14:52:55,17ec084,7,https://qiita.com/17ec084/items/e7176ddb6c06bb09a64d,,2
0000/04/15 23:55:20,motorcontrolman,77,https://qiita.com/motorcontrolman/items/b8d89a0cc09c73e058cb,motorcontrolman,2
0000/04/16 20:38:00,tohruk,4,https://qiita.com/tohruk/items/18efdb0bd502fbd805e6,,2
0000/04/16 22:42:10,kouichi-c-nakamura,12,https://qiita.com/kouichi-c-nakamura/items/ad84587f9c67cc8ce527,,5
0000/04/17 09:22:29,tohruk,8,https://qiita.com/tohruk/items/43b3dd1451b99b99cde3,,2
0000/04/17 10:22:45,f-akazawa,0,https://qiita.com/f-akazawa/items/0af3c5228caa7030a581,Eki_Sendai,7
0000/04/17 23:14:31,aoimidori,4,https://qiita.com/aoimidori/items/ab5a4383b5a7bb307bad,,2
0000/04/18 15:04:50,watakandai,6,https://qiita.com/watakandai/items/7e06df1a03fe4c494962,watakandhi,4
